pass,donor,receiver,donor_pct,receiver_pct,pct_diff,shared_length_m,vertices_snapped
1,Calgary-Beddington,Calgary-McCall-Bhullar,74.76,59.21,15.55,431.6,86
1,Calgary-Cross,Calgary-East,100.0,49.13,50.87,4657.7,258
1,Highwood,Calgary-De Winton,56.96,42.58,14.38,48787.6,2358
1,Calgary-De Winton,Canmore-Kananaskis,42.58,0.0,42.58,14522.9,21
1,Calgary-McCall-Bhullar,Calgary-Edgemont,59.21,31.82,27.39,3088.4,155
1,Calgary-North East,Calgary-Falconridge,82.45,58.99,23.46,2788.2,259
1,Chestermere-Strathmore,Calgary-Fish Creek,53.58,30.5,23.08,556.3,42
1,Calgary-Foothills-Airdrie West,Airdrie East,90.48,39.79,50.68,1244.9,101
1,Calgary-West-Tsuut'ina,Calgary-Lougheed,98.34,43.57,54.78,6413.7,359
1,Calgary-Lougheed,Canmore-Kananaskis,43.57,0.0,43.57,25543.8,81
1,Calgary-Nolan Hill-Cochrane,Canmore-Kananaskis,62.79,0.0,62.79,48265.2,51
1,Edmonton-Beaumont,Leduc,45.12,27.76,17.36,693.8,44
1,Edmonton-Highlands-Norwood,Edmonton-Beaumont,70.62,45.12,25.5,2069.3,135
1,Sherwood Park-Strathcona,Edmonton-Beaumont,63.1,45.12,17.98,203.1,25
1,Stony Plain-Drayton Valley,Edmonton-Beaumont,68.77,45.12,23.65,1043.9,59
1,Edmonton-South,Edmonton-Beaumont,57.5,45.12,12.38,2793.1,423
1,Edmonton-Strathcona,Edmonton-Beverly-Clareview,97.54,76.56,20.99,4158.7,305
1,Edmonton-Strathcona,Edmonton-City Centre,97.54,81.64,15.91,3767.1,247
1,Stony Plain-Drayton Valley,Edmonton-Decore,68.77,19.96,48.81,2024.0,97
1,Edmonton-Ellerslie,Leduc,42.91,27.76,15.15,3692.1,166
1,Sherwood Park-Strathcona,Edmonton-Ellerslie,63.1,42.91,20.18,13439.2,627
1,Stony Plain-Drayton Valley,Edmonton-Ellerslie,68.77,42.91,25.85,7708.2,368
1,Edmonton-Whitemud,Edmonton-Glenora-Riverview,100.0,74.69,25.31,6438.7,326
1,Stony Plain-Drayton Valley,Edmonton-Gold Bar,68.77,55.26,13.51,6690.6,339
1,Edmonton-Highlands-Norwood,Edmonton-South,70.62,57.5,13.12,3707.6,287
1,Edmonton-Strathcona,Edmonton-Highlands-Norwood,97.54,70.62,26.93,933.4,70
1,Edmonton-Whitemud,Edmonton-McClung,100.0,69.09,30.91,1922.1,112
1,Stony Plain-Drayton Valley,Edmonton-Meadows,68.77,56.64,12.13,10182.0,540
1,Sherwood Park-Strathcona,Edmonton-Mill Woods,63.1,34.86,28.24,19415.8,849
1,Edmonton-South,Edmonton-Rutherford,57.5,0.0,57.5,1047.4,235
1,St. Albert,Edmonton-West Henday,100.0,81.07,18.93,1317.9,117
1,Airdrie East,Olds-Three Hills-Didsbury,39.79,6.54,33.25,20866.4,1038
1,Highwood,Canmore-Kananaskis,56.96,0.0,56.96,5074.6,63
1,Rocky Mountain House-Banff Park,Canmore-Kananaskis,39.16,0.0,39.16,22027.4,151
1,Sherwood Park-Strathcona,Leduc,63.1,27.76,35.34,16335.5,710
2,Calgary-Acadia,Calgary-South,70.72,54.99,15.72,417.8,30
2,Calgary-Airdrie,Airdrie East,65.19,39.79,25.4,3937.1,191
2,Calgary-Varsity,Calgary-Beddington,97.24,74.76,22.48,2362.3,127
2,Calgary-Beddington,Calgary-McCall-Bhullar,74.76,59.21,15.55,835.0,96
2,Calgary-Cross,Calgary-East,100.0,49.13,50.87,4691.9,255
2,Highwood,Calgary-De Winton,56.96,42.58,14.38,47522.8,2369
2,Calgary-McCall-Bhullar,Calgary-Edgemont,59.21,31.82,27.39,3018.5,155
2,Chestermere-Strathmore,Calgary-Fish Creek,53.58,30.5,23.08,542.1,29
2,Calgary-Fish Creek,Calgary-Hays,30.5,0.0,30.5,674.7,4
2,Calgary-Foothills-Airdrie West,Airdrie East,90.48,39.79,50.68,1222.1,90
2,Calgary-West-Tsuut'ina,Calgary-Lougheed,98.34,43.57,54.78,6773.6,371
2,Calgary-Lougheed,Canmore-Kananaskis,43.57,0.0,43.57,40.5,11
2,Edmonton-Beaumont,Leduc,45.12,27.76,17.36,841.9,47
2,Sherwood Park-Strathcona,Edmonton-Beaumont,63.1,45.12,17.98,261.9,18
2,Stony Plain-Drayton Valley,Edmonton-Beaumont,68.77,45.12,23.65,1055.6,59
2,Edmonton-South,Edmonton-Beaumont,57.5,45.12,12.38,2717.0,408
2,Edmonton-Strathcona,Edmonton-Beverly-Clareview,97.54,76.56,20.99,4452.2,304
2,Edmonton-Strathcona,Edmonton-City Centre,97.54,81.64,15.91,3100.0,150
2,Stony Plain-Drayton Valley,Edmonton-Decore,68.77,19.96,48.81,2024.0,97
2,Edmonton-Ellerslie,Leduc,42.91,27.76,15.15,3142.1,156
2,Sherwood Park-Strathcona,Edmonton-Ellerslie,63.1,42.91,20.18,13620.5,624
2,Stony Plain-Drayton Valley,Edmonton-Ellerslie,68.77,42.91,25.85,6705.9,375
2,Edmonton-Whitemud,Edmonton-Glenora-Riverview,100.0,74.69,25.31,5343.9,317
2,Stony Plain-Drayton Valley,Edmonton-Gold Bar,68.77,55.26,13.51,6401.1,346
2,Edmonton-Strathcona,Edmonton-Highlands-Norwood,97.54,70.62,26.93,1062.1,64
2,Edmonton-Whitemud,Edmonton-McClung,100.0,69.09,30.91,1662.1,112
2,Stony Plain-Drayton Valley,Edmonton-Meadows,68.77,56.64,12.13,9315.7,544
2,Sherwood Park-Strathcona,Edmonton-Mill Woods,63.1,34.86,28.24,19136.1,849
2,Edmonton-South,Edmonton-Rutherford,57.5,0.0,57.5,381.9,185
2,St. Albert,Edmonton-West Henday,100.0,81.07,18.93,1366.3,119
2,Highwood,Canmore-Kananaskis,56.96,0.0,56.96,148.4,22
2,Rocky Mountain House-Banff Park,Canmore-Kananaskis,39.16,0.0,39.16,3145.6,90
2,Sherwood Park-Strathcona,Leduc,63.1,27.76,35.34,16071.9,711
3,Calgary-Acadia,Calgary-South,70.72,54.99,15.72,417.8,30
3,Calgary-Airdrie,Airdrie East,65.19,39.79,25.4,4087.1,191
3,Calgary-Varsity,Calgary-Beddington,97.24,74.76,22.48,2362.3,127
3,Calgary-Beddington,Calgary-McCall-Bhullar,74.76,59.21,15.55,896.8,102
3,Calgary-Cross,Calgary-East,100.0,49.13,50.87,4692.6,255
3,Highwood,Calgary-De Winton,56.96,42.58,14.38,47826.4,2369
3,Calgary-McCall-Bhullar,Calgary-Edgemont,59.21,31.82,27.39,3018.5,155
3,Chestermere-Strathmore,Calgary-Fish Creek,53.58,30.5,23.08,542.1,29
3,Calgary-Foothills-Airdrie West,Airdrie East,90.48,39.79,50.68,1222.1,87
3,Calgary-West-Tsuut'ina,Calgary-Lougheed,98.34,43.57,54.78,7022.2,370
3,Edmonton-Beaumont,Leduc,45.12,27.76,17.36,897.0,48
3,Sherwood Park-Strathcona,Edmonton-Beaumont,63.1,45.12,17.98,261.9,18
3,Stony Plain-Drayton Valley,Edmonton-Beaumont,68.77,45.12,23.65,1055.6,59
3,Edmonton-South,Edmonton-Beaumont,57.5,45.12,12.38,2717.0,408
3,Edmonton-Strathcona,Edmonton-Beverly-Clareview,97.54,76.56,20.99,4557.6,307
3,Edmonton-Strathcona,Edmonton-City Centre,97.54,81.64,15.91,2291.7,150
