map,name,area_km2,perimeter_km,polsby_popper,pp_percentile_rank
2019_enacted,Edmonton-Beaumont,76.5938,32.0273,0.938348,98.88
2019_enacted,Edmonton-Beverly-Clareview,39.3013,34.9937,0.403308,61.80
2019_enacted,Edmonton-Castle Downs,32.5751,42.7237,0.224263,16.85
2019_enacted,Edmonton-City Centre,30.3767,31.7190,0.379412,51.69
2019_enacted,Edmonton-Decore,16.5692,43.7264,0.108899,4.49
2019_enacted,Edmonton-Ellerslie,50.1480,44.0388,0.324932,42.70
2019_enacted,Edmonton-Enoch,58.0388,41.4517,0.424467,68.54
2019_enacted,Edmonton-Glenora-Riverview,0.1584,29.8573,0.002233,0.00
2019_enacted,Edmonton-Gold Bar,73.8048,83.9889,0.131477,7.87
2019_enacted,Edmonton-Highlands-Norwood,16.5798,20.0547,0.518033,87.64
2019_enacted,Edmonton-Manning,105.2930,52.2147,0.485316,82.02
2019_enacted,Edmonton-McClung,1.8043,8.9789,0.281245,31.46
2019_enacted,Edmonton-Meadows,18.5517,21.5469,0.502138,85.39
2019_enacted,Edmonton-Mill Woods,26.5598,21.9790,0.690902,97.75
2019_enacted,Edmonton-North West,28.6699,43.9616,0.186418,10.11
2019_enacted,Edmonton-Rutherford,31.5187,58.4625,0.115884,5.62
2019_enacted,Edmonton-South,61.8343,51.2995,0.295265,33.71
2019_enacted,Edmonton-Strathcona,15.4696,26.6482,0.273751,30.34
2019_enacted,Edmonton-West Henday,46.1277,48.8817,0.242593,19.10
2019_enacted,Edmonton-Whitemud,19.2550,32.0914,0.234950,17.98
2019_enacted,Edmonton-Windermere,90.4940,64.7486,0.271249,28.09
2019_enacted,Airdrie-East,711.7836,142.6196,0.439744,71.91
2019_enacted,Airdrie-West,104.4788,61.7063,0.344809,46.07
2019_enacted,Barrhead-Westlock-Athabasca,23699.1271,1063.0888,0.263514,25.84
2019_enacted,Camrose,10636.5707,722.3723,0.256147,20.22
2019_enacted,Canmore-Banff,15334.9768,1229.6745,0.127442,6.74
2019_enacted,Central Peace-Notley,47311.9316,1506.0844,0.262109,23.60
2019_enacted,Chestermere-Strathmore,1578.6998,191.0470,0.543537,91.01
2019_enacted,Cochrane-Springbank,649.3327,136.7718,0.436198,69.66
2019_enacted,Cold Lake-Bonnyville-St. Paul,15870.8262,707.7327,0.398172,59.55
2019_enacted,Drumheller-Stettler,36548.4940,1093.1825,0.384321,55.06
2019_enacted,Fort McMurray-Lac La Biche,32317.7482,1046.9477,0.370511,48.31
2019_enacted,Fort McMurray-Wood Buffalo,86353.3154,1519.0501,0.470267,77.53
2019_enacted,Fort Saskatchewan-Vegreville,9118.3505,560.4087,0.364852,47.19
2019_enacted,Grande Prairie,111.1344,59.3010,0.397132,58.43
2019_enacted,Grande Prairie-Wapiti,8360.6861,570.6173,0.322672,41.57
2019_enacted,High River-Vulcan-Siksika,655.1558,175.7839,0.266438,26.97
