map,ed_name,commission_pop,provincial_quota,deviation_pct,lower_band_pct,upper_band_pct,s15_invoked,s15_criteria_met,s15_verdict,classification,flag,notes
minority_2026,Edmonton-Spruce Grove,59524,54930.0,8.36,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Edmonton-Strathcona,56165,54930.0,2.25,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Edmonton-West Henday,62510,54930.0,13.8,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Edmonton-Whitemud,60347,54930.0,9.86,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Edmonton-Windermere,56944,54930.0,3.67,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Airdrie East,50797,54930.0,-7.52,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Barrhead-Westlock-Athabasca,46892,54930.0,-14.63,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Camrose,48536,54930.0,-11.64,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Canmore-Kananaskis,49542,54930.0,-9.81,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Cold Lake-Bonnyville-St. Paul,55713,54930.0,1.43,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Central Peace-Notley,30446,54930.0,-44.57,-25.0,25.0,Y,5,Pass,S15_JUSTIFIED,,5/5; boundaries essentially identical to majority
minority_2026,Chestermere-Strathmore,52982,54930.0,-3.55,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Drumheller-Stettler,51370,54930.0,-6.48,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Fort McMurray-Lac La Biche,44719,54930.0,-18.59,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Fort McMurray-Wood Buffalo,46721,54930.0,-14.94,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Fort Saskatchewan-Vegreville,54274,54930.0,-1.19,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Grande Prairie,50352,54930.0,-8.33,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Grande Prairie-Wapiti,52041,54930.0,-5.26,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Highwood,54375,54930.0,-1.01,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Lac Ste. Anne-Parkland,47017,54930.0,-14.41,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Leduc,52328,54930.0,-4.74,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Lesser Slave Lake,30011,54930.0,-45.37,-25.0,25.0,Y,4,Pass,S15_JUSTIFIED,,4/5; (e) fails; same as majority
minority_2026,Lethbridge-Cardston,51831,54930.0,-5.64,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Lethbridge-Fort MacLeod-Crowsnest Pass,54564,54930.0,-0.67,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Lethbridge-Little Bow,56212,54930.0,2.33,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Lethbridge-Taber-Warner,60906,54930.0,10.88,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Lloydminster-Wainwright,49365,54930.0,-10.13,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Medicine Hat-Brooks,54898,54930.0,-0.06,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Medicine Hat-Cypress,60690,54930.0,10.49,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Olds-Three Hills-Didsbury,49436,54930.0,-10.0,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Peace River,43408,54930.0,-20.98,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Red Deer-Blackfalds,52827,54930.0,-3.83,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Red Deer-Innisfail,52961,54930.0,-3.58,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Red Deer-Lacombe,56180,54930.0,2.28,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Red Deer-Sylvan Lake,52454,54930.0,-4.51,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Rocky Mountain House-Banff Park,38298,54930.0,-30.28,-25.0,25.0,Y,5,Pass,S15_JUSTIFIED,,"5/5; (a) Clearwater County 18,692 km² + extensions; (b) Rocky Mountain House 215 km from Legislature; (c) largest town 6,765 (Rocky Mountain House); (d) five reserves named at commission p. 352; (e) NP extension reaches BC border. Passes 4/5 even without NP extension."
minority_2026,Sherwood Park,55311,54930.0,0.69,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,St. Albert,54589,54930.0,-0.62,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,St. Albert-Sturgeon,52334,54930.0,-4.73,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Stony Plain-Drayton Valley,48032,54930.0,-12.56,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Sherwood Park-Strathcona,51826,54930.0,-5.65,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,West Yellowhead,49766,54930.0,-9.4,-25.0,25.0,N,,,COMPLIANT,,
minority_2026,Wetaskawin-Ponoka-Maskwacis,48775,54930.0,-11.21,-25.0,25.0,N,,,COMPLIANT,,
