va_id,parent_ed_2019,va_number,majority_hybrid_candidate,minority_hybrid_candidate
Drayton Valley-Devon|024,Drayton Valley-Devon,024,,Edmonton-Enoch-Devon
Drayton Valley-Devon|023,Drayton Valley-Devon,023,,Edmonton-Enoch-Devon
Brooks-Medicine Hat|037,Brooks-Medicine Hat,037,Medicine Hat-Brooks,
Brooks-Medicine Hat|036,Brooks-Medicine Hat,036,Medicine Hat-Brooks,
Airdrie-Cochrane|078,Airdrie-Cochrane,078,Airdrie-West,Calgary-Airdrie;Calgary-Nolan Hill-Cochrane
Calgary-Peigan|002,Calgary-Peigan,002,,Calgary-Peigan-Chestermere
Fort McMurray-Wood Buffalo|021,Fort McMurray-Wood Buffalo,021,,Lethbridge-Fort MacLeod-Crowsnest Pass
Fort McMurray-Wood Buffalo|020,Fort McMurray-Wood Buffalo,020,,Lethbridge-Fort MacLeod-Crowsnest Pass
Fort McMurray-Lac La Biche|016,Fort McMurray-Lac La Biche,016,,Lethbridge-Fort MacLeod-Crowsnest Pass
Morinville-St. Albert|025,Morinville-St. Albert,025,St. Albert-Sturgeon,St. Albert-Sturgeon
Leduc-Beaumont|020,Leduc-Beaumont,020,Leduc-Devon,Edmonton-Beaumont
Morinville-St. Albert|029,Morinville-St. Albert,029,St. Albert-Sturgeon,St. Albert-Sturgeon
Drayton Valley-Devon|057,Drayton Valley-Devon,057,,Edmonton-Enoch-Devon
Drayton Valley-Devon|012,Drayton Valley-Devon,012,,Edmonton-Enoch-Devon
Lacombe-Ponoka|024,Lacombe-Ponoka,024,Lacombe-Clearwater,
Spruce Grove-Stony Plain|045,Spruce Grove-Stony Plain,045,Spruce Grove,
Taber-Warner|011,Taber-Warner,011,,Lethbridge-Taber-Warner
Lacombe-Ponoka|015,Lacombe-Ponoka,015,Lacombe-Clearwater,
Calgary-Peigan|015,Calgary-Peigan,015,,Calgary-Peigan-Chestermere
Maskwacis-Wetaskiwin|019,Maskwacis-Wetaskiwin,019,Wetaskiwin-Ponoka-Maskwacis,
Edmonton-Highlands-Norwood|012,Edmonton-Highlands-Norwood,012,,Edmonton-Highlands-Norwood
Calgary-Bow|042,Calgary-Bow,042,,Calgary-Bow-Springbank
Lacombe-Ponoka|028,Lacombe-Ponoka,028,Lacombe-Clearwater,
Lethbridge-East|055,Lethbridge-East,055,,Lethbridge-Fort MacLeod-Crowsnest Pass
Vermilion-Lloydminster-Wainwright|005,Vermilion-Lloydminster-Wainwright,005,Lloydminster-Wainwright,
Lethbridge-East|035,Lethbridge-East,035,,Lethbridge-Fort MacLeod-Crowsnest Pass
Fort McMurray-Lac La Biche|017,Fort McMurray-Lac La Biche,017,,Lethbridge-Fort MacLeod-Crowsnest Pass
Fort McMurray-Lac La Biche|018,Fort McMurray-Lac La Biche,018,,Lethbridge-Fort MacLeod-Crowsnest Pass
Vermilion-Lloydminster-Wainwright|015,Vermilion-Lloydminster-Wainwright,015,Lloydminster-Wainwright,
Bonnyville-Cold Lake-St. Paul|061,Bonnyville-Cold Lake-St. Paul,061,Cold Lake-Bonnyville-St. Paul,
Fort Saskatchewan-Vegreville|034,Fort Saskatchewan-Vegreville,034,,Lethbridge-Fort MacLeod-Crowsnest Pass
Lethbridge-West|018,Lethbridge-West,018,,Lethbridge-Fort MacLeod-Crowsnest Pass
Lethbridge-East|054,Lethbridge-East,054,,Lethbridge-Fort MacLeod-Crowsnest Pass
Fort McMurray-Lac La Biche|041,Fort McMurray-Lac La Biche,041,,Lethbridge-Fort MacLeod-Crowsnest Pass
Morinville-St. Albert|036,Morinville-St. Albert,036,St. Albert-Sturgeon,St. Albert-Sturgeon
Calgary-North West|013,Calgary-North West,013,,Calgary-North West-Bearspaw
Edmonton-Glenora|013,Edmonton-Glenora,013,,Edmonton-Glenora-Riverview
Morinville-St. Albert|015,Morinville-St. Albert,015,St. Albert-Sturgeon,St. Albert-Sturgeon
Calgary-West|046,Calgary-West,046,,Calgary-West-Tsuut’ina
Edmonton-Beverly-Clareview|036,Edmonton-Beverly-Clareview,036,,Edmonton-Beverly-Clareview
Bonnyville-Cold Lake-St. Paul|011,Bonnyville-Cold Lake-St. Paul,011,Cold Lake-Bonnyville-St. Paul,
Edmonton-Beverly-Clareview|038,Edmonton-Beverly-Clareview,038,,Edmonton-Beverly-Clareview
Lethbridge-East|009,Lethbridge-East,009,,Lethbridge-Fort MacLeod-Crowsnest Pass
Calgary-Bow|021,Calgary-Bow,021,,Calgary-Bow-Springbank
Calgary-North West|020,Calgary-North West,020,,Calgary-North West-Bearspaw
Calgary-Bow|024,Calgary-Bow,024,,Calgary-Bow-Springbank
Cypress-Medicine Hat|040,Cypress-Medicine Hat,040,Medicine Hat-Cypress,
Calgary-Bow|058,Calgary-Bow,058,,Calgary-Bow-Springbank
Fort Saskatchewan-Vegreville|001,Fort Saskatchewan-Vegreville,001,,Lethbridge-Fort MacLeod-Crowsnest Pass
Fort McMurray-Lac La Biche|046,Fort McMurray-Lac La Biche,046,,Lethbridge-Fort MacLeod-Crowsnest Pass
Calgary-Bow|054,Calgary-Bow,054,,Calgary-Bow-Springbank
Airdrie-Cochrane|073,Airdrie-Cochrane,073,Airdrie-West,Calgary-Airdrie;Calgary-Nolan Hill-Cochrane
Calgary-Bow|004,Calgary-Bow,004,,Calgary-Bow-Springbank
Taber-Warner|038,Taber-Warner,038,,Lethbridge-Taber-Warner
Calgary-North West|045,Calgary-North West,045,,Calgary-North West-Bearspaw
Airdrie-Cochrane|016,Airdrie-Cochrane,016,Airdrie-West,Calgary-Airdrie;Calgary-Nolan Hill-Cochrane
Calgary-North West|040,Calgary-North West,040,,Calgary-North West-Bearspaw
Calgary-North West|035,Calgary-North West,035,,Calgary-North West-Bearspaw
Lethbridge-East|026,Lethbridge-East,026,,Lethbridge-Fort MacLeod-Crowsnest Pass
Calgary-North West|052,Calgary-North West,052,,Calgary-North West-Bearspaw
Airdrie-Cochrane|080,Airdrie-Cochrane,080,Airdrie-West,Calgary-Airdrie;Calgary-Nolan Hill-Cochrane
Bonnyville-Cold Lake-St. Paul|006,Bonnyville-Cold Lake-St. Paul,006,Cold Lake-Bonnyville-St. Paul,
Drayton Valley-Devon|022,Drayton Valley-Devon,022,,Edmonton-Enoch-Devon
Airdrie-East|027,Airdrie-East,027,,Calgary-Airdrie
Lacombe-Ponoka|003,Lacombe-Ponoka,003,Lacombe-Clearwater,
Calgary-Foothills|036,Calgary-Foothills,036,,Calgary-Foothills-Airdrie West
Fort Saskatchewan-Vegreville|030,Fort Saskatchewan-Vegreville,030,,Lethbridge-Fort MacLeod-Crowsnest Pass
Spruce Grove-Stony Plain|004,Spruce Grove-Stony Plain,004,Spruce Grove,
Spruce Grove-Stony Plain|023,Spruce Grove-Stony Plain,023,Spruce Grove,
Fort McMurray-Lac La Biche|023,Fort McMurray-Lac La Biche,023,,Lethbridge-Fort MacLeod-Crowsnest Pass
Calgary-North West|051,Calgary-North West,051,,Calgary-North West-Bearspaw
Fort Saskatchewan-Vegreville|058,Fort Saskatchewan-Vegreville,058,,Lethbridge-Fort MacLeod-Crowsnest Pass
Airdrie-East|071,Airdrie-East,071,,Calgary-Airdrie
Taber-Warner|024,Taber-Warner,024,,Lethbridge-Taber-Warner
Cypress-Medicine Hat|041,Cypress-Medicine Hat,041,Medicine Hat-Cypress,
Taber-Warner|056,Taber-Warner,056,,Lethbridge-Taber-Warner
Brooks-Medicine Hat|066,Brooks-Medicine Hat,066,Medicine Hat-Brooks,
Fort McMurray-Lac La Biche|031,Fort McMurray-Lac La Biche,031,,Lethbridge-Fort MacLeod-Crowsnest Pass
Vermilion-Lloydminster-Wainwright|050,Vermilion-Lloydminster-Wainwright,050,Lloydminster-Wainwright,
Fort Saskatchewan-Vegreville|035,Fort Saskatchewan-Vegreville,035,,Lethbridge-Fort MacLeod-Crowsnest Pass
Calgary-Foothills|023,Calgary-Foothills,023,,Calgary-Foothills-Airdrie West
Airdrie-Cochrane|041,Airdrie-Cochrane,041,Airdrie-West,Calgary-Airdrie;Calgary-Nolan Hill-Cochrane
Fort Saskatchewan-Vegreville|063,Fort Saskatchewan-Vegreville,063,,Lethbridge-Fort MacLeod-Crowsnest Pass
Fort Saskatchewan-Vegreville|032,Fort Saskatchewan-Vegreville,032,,Lethbridge-Fort MacLeod-Crowsnest Pass
Calgary-West|044,Calgary-West,044,,Calgary-West-Tsuut’ina
Bonnyville-Cold Lake-St. Paul|016,Bonnyville-Cold Lake-St. Paul,016,Cold Lake-Bonnyville-St. Paul,
Edmonton-Glenora|003,Edmonton-Glenora,003,,Edmonton-Glenora-Riverview
Vermilion-Lloydminster-Wainwright|052,Vermilion-Lloydminster-Wainwright,052,Lloydminster-Wainwright,
Lacombe-Ponoka|018,Lacombe-Ponoka,018,Lacombe-Clearwater,
Taber-Warner|052,Taber-Warner,052,,Lethbridge-Taber-Warner
Edmonton-Highlands-Norwood|030,Edmonton-Highlands-Norwood,030,,Edmonton-Highlands-Norwood
Bonnyville-Cold Lake-St. Paul|009,Bonnyville-Cold Lake-St. Paul,009,Cold Lake-Bonnyville-St. Paul,
Leduc-Beaumont|044,Leduc-Beaumont,044,Leduc-Devon,Edmonton-Beaumont
Edmonton-Highlands-Norwood|007,Edmonton-Highlands-Norwood,007,,Edmonton-Highlands-Norwood
Leduc-Beaumont|033,Leduc-Beaumont,033,Leduc-Devon,Edmonton-Beaumont
Lethbridge-West|004,Lethbridge-West,004,,Lethbridge-Fort MacLeod-Crowsnest Pass
Calgary-North West|014,Calgary-North West,014,,Calgary-North West-Bearspaw
Calgary-West|014,Calgary-West,014,,Calgary-West-Tsuut’ina
Taber-Warner|016,Taber-Warner,016,,Lethbridge-Taber-Warner
Drayton Valley-Devon|006,Drayton Valley-Devon,006,,Edmonton-Enoch-Devon
Airdrie-Cochrane|077,Airdrie-Cochrane,077,Airdrie-West,Calgary-Airdrie;Calgary-Nolan Hill-Cochrane
Fort Saskatchewan-Vegreville|053,Fort Saskatchewan-Vegreville,053,,Lethbridge-Fort MacLeod-Crowsnest Pass
Fort Saskatchewan-Vegreville|049,Fort Saskatchewan-Vegreville,049,,Lethbridge-Fort MacLeod-Crowsnest Pass
Taber-Warner|029,Taber-Warner,029,,Lethbridge-Taber-Warner
Fort Saskatchewan-Vegreville|059,Fort Saskatchewan-Vegreville,059,,Lethbridge-Fort MacLeod-Crowsnest Pass
Drayton Valley-Devon|049,Drayton Valley-Devon,049,,Edmonton-Enoch-Devon
Maskwacis-Wetaskiwin|011,Maskwacis-Wetaskiwin,011,Wetaskiwin-Ponoka-Maskwacis,
Vermilion-Lloydminster-Wainwright|011,Vermilion-Lloydminster-Wainwright,011,Lloydminster-Wainwright,
Leduc-Beaumont|047,Leduc-Beaumont,047,Leduc-Devon,Edmonton-Beaumont
Morinville-St. Albert|041,Morinville-St. Albert,041,St. Albert-Sturgeon,St. Albert-Sturgeon
Morinville-St. Albert|042,Morinville-St. Albert,042,St. Albert-Sturgeon,St. Albert-Sturgeon
Brooks-Medicine Hat|034,Brooks-Medicine Hat,034,Medicine Hat-Brooks,
Airdrie-East|051,Airdrie-East,051,,Calgary-Airdrie
Airdrie-East|053,Airdrie-East,053,,Calgary-Airdrie
Maskwacis-Wetaskiwin|023,Maskwacis-Wetaskiwin,023,Wetaskiwin-Ponoka-Maskwacis,
Lacombe-Ponoka|041,Lacombe-Ponoka,041,Lacombe-Clearwater,
Lacombe-Ponoka|014,Lacombe-Ponoka,014,Lacombe-Clearwater,
Maskwacis-Wetaskiwin|024,Maskwacis-Wetaskiwin,024,Wetaskiwin-Ponoka-Maskwacis,
Airdrie-East|018,Airdrie-East,018,,Calgary-Airdrie
Calgary-Bow|055,Calgary-Bow,055,,Calgary-Bow-Springbank
Brooks-Medicine Hat|009,Brooks-Medicine Hat,009,Medicine Hat-Brooks,
Edmonton-Highlands-Norwood|039,Edmonton-Highlands-Norwood,039,,Edmonton-Highlands-Norwood
Edmonton-Beverly-Clareview|027,Edmonton-Beverly-Clareview,027,,Edmonton-Beverly-Clareview
Morinville-St. Albert|016,Morinville-St. Albert,016,St. Albert-Sturgeon,St. Albert-Sturgeon
Vermilion-Lloydminster-Wainwright|032,Vermilion-Lloydminster-Wainwright,032,Lloydminster-Wainwright,
Fort McMurray-Wood Buffalo|024,Fort McMurray-Wood Buffalo,024,,Lethbridge-Fort MacLeod-Crowsnest Pass
Lethbridge-West|017,Lethbridge-West,017,,Lethbridge-Fort MacLeod-Crowsnest Pass
Fort Saskatchewan-Vegreville|054,Fort Saskatchewan-Vegreville,054,,Lethbridge-Fort MacLeod-Crowsnest Pass
Bonnyville-Cold Lake-St. Paul|040,Bonnyville-Cold Lake-St. Paul,040,Cold Lake-Bonnyville-St. Paul,
Lethbridge-East|003,Lethbridge-East,003,,Lethbridge-Fort MacLeod-Crowsnest Pass
Taber-Warner|025,Taber-Warner,025,,Lethbridge-Taber-Warner
Lacombe-Ponoka|045,Lacombe-Ponoka,045,Lacombe-Clearwater,
