ed_name,region,sheet_num,cand_1,cand_2,cand_3,cand_4,cand_5,cand_6,votes_1,votes_2,votes_3,votes_4,votes_5,votes_6,total_valid_votes,turnout_pct,winner_party,winner_pct,runner_up_party,runner_up_pct,margin_pct
Lethbridge-West,Rest of Alberta,72,Pat Chizek (LIB),Braham Luddu (AP),Shannon Phillips (NDP),Cheryl Seaborn (UCP),,,375,425,12082,9525,,,22407,0.6153,NDP,53.92,UCP,42.51,11.41
Livingstone-Macleod,Rest of Alberta,73,Erik Abildgaard (IND),Dylin Hauser (LIB),Chelsae Petrovic (UCP),Kevin Todd (AP),Corrie Reed Toone (TIP),Kevin Van Tighem (NDP),130,194,16491,975,353,6492,24635,0.6616,UCP,66.94,NDP,26.35,40.59
Maskwacis-Wetaskiwin,Rest of Alberta,74,Justin Fuss (GPA),Suzanne Jubb (SM),Marie Rittenhouse (IND),Katherine Swampy (NDP),Rick Wilson (UCP),,187,86,520,4801,11640,,17234,0.5872,UCP,67.54,NDP,27.86,39.68
Morinville-St. Albert,Rest of Alberta,75,Kurt Klingbeil (GPA),Dale Nally (UCP),Wayne Rufiange (AP),Karen Shaw (NDP),,,230,13472,590,11728,,,26020,0.6608,UCP,51.78,NDP,45.07,6.70
Olds-Didsbury-Three Hills,Rest of Alberta,76,Judy Bridges (SM),Nathan Cooper (UCP),Cheryl Hunter Loewen (NDP),Katherine Kowalchuk (TIP),Cam Tatlock (WLC),,105,18228,4553,1140,183,,24209,0.6378,UCP,75.29,NDP,18.81,56.49
Peace River,Rest of Alberta,77,Sharon Noullett (TIP),Conrad Nunweiler (IND),Liana Paiva (NDP),Dan Williams (UCP),,,194,290,2587,8236,,,11307,0.4910,UCP,72.84,NDP,22.88,49.96
Red Deer-North,Rest of Alberta,78,Vicky Bayford (TIP),Kallie Dyck (SM),Adriana LaGrange (UCP),Heather Morigeau (GPA),Jaelene Tweedle (NDP),,281,183,10629,257,7144,,18494,0.5579,UCP,57.47,NDP,38.63,18.84
Red Deer-South,Rest of Alberta,79,Michelle Baer (NDP),Pamela Liebenberg (SM),Ashley MacDonald (GPA),Jason Stephan (UCP),Jesse Stretch (WLC),,9976,146,274,13469,160,,24025,0.6249,UCP,56.06,NDP,41.52,14.54
Rimbey-Rocky Mountain House-Sundre,Rest of Alberta,80,Vance Buchwald (NDP),Tim Hoven (IND),Jason Nixon (UCP),Carol Nordlund Kinsey (APA),Fred Schwieger (IND),Tami Tatlock (WLC),3118,3393,15571,103,135,96,22416,0.6593,UCP,69.46,IND,15.14,54.33
Sherwood Park,Rest of Alberta,81,Kyle Kasawski (NDP),Jacob Stacey (LIB),Sue Timanson (AP),Jordan Walker (UCP),,,13108,225,1293,11447,,,26073,0.7027,NDP,50.27,UCP,43.90,6.37
Spruce Grove-Stony Plain,Rest of Alberta,82,Daniel Birrell (GPA),Darlene Clarke (SM),Chantal Saramaga-McKenzie (NDP),Searle Turton (UCP),,,422,223,10197,14365,,,25207,0.6143,UCP,56.99,NDP,40.45,16.54
St. Albert,Rest of Alberta,83,Cameron Jefferies (GPA),Marie Renaud (NDP),Angela Wood (UCP),,,,455,15021,10200,,,,25676,0.6663,NDP,58.50,UCP,39.73,18.78
Strathcona-Sherwood Park,Rest of Alberta,84,Jody Balanko (IND),Nate Glubish (UCP),Bill Tonita (NDP),,,,614,13865,11646,,,,26125,0.6996,UCP,53.07,NDP,44.58,8.49
Taber-Warner,Rest of Alberta,85,Brent Ginther (SM),Paul Hinman (WLC),Jazminn Hintz (NDP),Joel Hunt (GPA),Grant Hunter (UCP),Frank Kast (TIP),124,754,2817,239,12379,129,16442,0.5725,UCP,75.29,NDP,17.13,58.16
Vermilion-Lloydminster-Wainwright,Rest of Alberta,86,Tigra-Lee Campbell (GPA),Darrell Dunn (AP),Dawn Flaata (NDP),Danny Hozack (WLC),Matthew Powell (IND),Garth Rowswell (UCP),146,475,3075,460,351,13097,17604,0.5503,UCP,74.40,NDP,17.47,56.93
West Yellowhead,Rest of Alberta,87,Fred Kreiner (NDP),Martin Long (UCP),,,,,5679,14456,,,,,20135,0.5712,UCP,71.80,NDP,28.20,43.59
