map,name,tier,confidence,area_km2,perimeter_km,polsby_popper,reock
minority_2026_approx,Calgary-North East,A,high,66.48363870424147,46.63401090033758,0.38416615859824477,0.40641716011055035
minority_2026_approx,Calgary-North West-Bearspaw,C,low,,,,
minority_2026_approx,Calgary-Peigan-Chestermere,C,low,,,,
minority_2026_approx,Calgary-South East,A,high,52.53276427680322,32.13641484819958,0.6392125128906907,0.5125214471075821
minority_2026_approx,Calgary-Varsity,A,high,24.012559405338944,27.461569899354885,0.4001267571380707,0.37005821499059843
minority_2026_approx,Calgary-West-Tsuut’ina,C,low,,,,
minority_2026_approx,Camrose,A,high,10636.570655675137,722.3722540262208,0.2561470627647195,0.5092324023404214
minority_2026_approx,Central Peace-Notley,A,high,47311.93162058979,1506.0844200736044,0.2621089868285002,0.333185358203389
minority_2026_approx,Chestermere-Strathmore,A,high,1581.5462445557323,191.14062705421895,0.5439835243884031,0.6814330679211213
minority_2026_approx,Cold Lake-Bonnyville-St. Paul,C,low,,,,
minority_2026_approx,Medicine Hat-Cypress,A,high,6113.4688897793885,411.1505074319066,0.4544602565965968,0.4302288137450547
minority_2026_approx,Stony Plain-Drayton Valley,A,medium,6153.8268778442725,531.9610349395041,0.2732722255847502,0.3586007488128376
minority_2026_approx,Drumheller-Stettler,A,high,36548.494011877985,1093.1824633027632,0.3843209313121662,0.5858785760171471
minority_2026_approx,Edmonton-Beverly-Clareview,C,low,,,,
minority_2026_approx,Edmonton-City Centre,A,high,12.339992257601248,18.80853917260365,0.4383435488186143,0.3981811283240838
minority_2026_approx,Edmonton-Decore,A,high,17.184411816543438,17.584071881923137,0.6984022582395454,0.5199246973766685
minority_2026_approx,Edmonton-Ellerslie,A,high,64.13648294910064,45.083508893758356,0.3965332270225734,0.5102793331516106
minority_2026_approx,Edmonton-Glenora-Riverview,C,low,,,,
minority_2026_approx,Edmonton-Gold Bar,A,high,53.610011697734,41.0737190221543,0.39932611254866496,0.5097372016375438
minority_2026_approx,Edmonton-Highlands-Norwood,C,low,,,,
minority_2026_approx,Edmonton-Manning,A,high,115.33191511035204,50.47443290455879,0.5688745058044719,0.5604235746830665
minority_2026_approx,Edmonton-McClung,A,high,17.94461065916604,23.38241595047069,0.41244414247820127,0.5361481317827892
minority_2026_approx,Edmonton-Meadows,A,high,18.55169619388073,21.54691805209477,0.5021380916598082,0.5708473669742221
minority_2026_approx,Edmonton-Mill Woods,A,high,26.55975579452195,21.97903598079886,0.6909023368797165,0.6291539496346389
minority_2026_approx,Edmonton-North West,A,high,29.92862690131798,33.385232690286074,0.3374332238170371,0.34924831716284443
minority_2026_approx,Edmonton-Rutherford,A,high,21.27286148426335,28.47155075502819,0.32977181262283484,0.4858545552557101
minority_2026_approx,Edmonton-South,A,high,72.70419484010588,56.596308349638434,0.2852286360367699,0.4098593282119794
minority_2026_approx,Edmonton-Strathcona,A,high,15.469617769271503,26.648154103326153,0.27375066620891153,0.3833833292115658
minority_2026_approx,Edmonton-West Henday,A,high,76.50250538154614,44.35072457896071,0.4887469757713418,0.3903680605723747
minority_2026_approx,Edmonton-Whitemud,A,high,22.039743329652328,31.235392775122698,0.2838719320857487,0.392409821939363
minority_2026_approx,Fort McMurray-Lac La Biche,A,high,32317.74815650458,1046.9476515180065,0.3705109283945945,0.45556924733498333
minority_2026_approx,Fort McMurray-Wood Buffalo,A,high,86353.31538184448,1519.0501324294498,0.4702671757487431,0.4575018908461105
minority_2026_approx,Fort Saskatchewan-Vegreville,A,high,9118.35047191751,560.4086984209488,0.3648517297003723,0.3962084380894053
minority_2026_approx,Grande Prairie,A,high,111.13441968098037,59.3009980498282,0.39713159922888885,0.5082942827202849
minority_2026_approx,Grande Prairie-Wapiti,A,high,16018.21503516566,722.1290923949646,0.386006217503667,0.49418088968709906
minority_2026_approx,Red Deer-Sylvan Lake,A,medium,3605.1871555615617,416.12939209289436,0.2616259962543567,0.39408839812666274
minority_2026_approx,Lac Ste. Anne-Parkland,A,high,5485.652083605853,452.52652854761595,0.33662784424339615,0.4705507934137151
minority_2026_approx,Leduc,A,medium,190.00237212019618,66.13290039540502,0.5459259606995226,0.5437316102143981
