map,OBJECTID,parent_ed_2019,VA_NUMBER,ed_2026,area_weight,va_ndp_full_share,va_ucp_full_share,va_other_full_share,fallback
majority,2644,Calgary-Foothills,051,Calgary-Nose Creek,0.3258284085713322,60.66116631579229,59.514531883339465,1.5449054115828362,True
majority,2646,Rimbey-Rocky Mountain House-Sundre,036,Lacombe-Clearwater,1.0,33.26422859830668,194.414557855127,40.19955315145814,True
majority,2649,Calgary-North East,016,Calgary-North East,0.0930650543347209,18.454034354566364,17.430119899930723,0.0,True
majority,2655,Cardston-Siksika,052,High River-Vulcan-Siksika,1.0,18.953555878084178,145.8151007193097,25.691589977511605,True
majority,2658,Calgary-North West,011,Calgary-North West,0.15596433987019176,33.227913401267195,34.48985738876011,2.5518871305873527,True
majority,2661,Calgary-West,005,Calgary-West-Elbow Valley,0.247145145320536,56.2878357665625,70.29284344948685,2.1284604032533134,True
majority,2663,Rimbey-Rocky Mountain House-Sundre,064,Lacombe-Clearwater,1.0,44.8936970837253,201.7729727187206,48.18598306679209,True
majority,2681,Cardston-Siksika,044,High River-Vulcan-Siksika,1.0,63.3432510885341,277.19601987272523,35.01543485542034,True
majority,2690,Calgary-East,037,Calgary-East,1.0,104.24937440419447,104.20933627264061,7.427281935176358,True
majority,2698,Calgary-Fish Creek,009,Calgary-Fish Creek,0.24951756785650203,56.83542294415832,69.22038413737495,2.974451003059939,True
majority,2699,Calgary-Fish Creek,008,Calgary-Fish Creek,0.5493654311668553,125.13514338687668,152.40324159873944,6.548879791584294,True
majority,2703,Lac Ste. Anne-Parkland,047,Edmonton-Enoch,1.0,92.77920470369797,205.47589575827237,10.086647067925114,True
majority,2705,Calgary-South East,023,Calgary-South East,0.27441137250858105,33.07157564687022,48.98738233756211,1.6200493156401947,True
majority,2716,Calgary-North West,031,Calgary-North West,0.0029402902352998472,0.6363529923010601,0.6493202049355296,0.04653966027345762,True
