OBJECTID,VA_NUMBER,parent_ed_2019,va_ndp,va_ucp,va_other,ed_2026_maj,ed_2026_min
1637,003,Red Deer-North,67.0,149.66666666666666,8.333333333333334,Red Deer-North,Red Deer-Lacombe
1638,011,Livingstone-Macleod,40.77777777777778,118.16666666666667,10.38888888888889,High River-Vulcan-Siksika,Highwood
1639,029,Calgary-Bow,98.66666666666667,141.33333333333334,3.0,Calgary-Bow,Calgary-Bow-Springbank
1640,056,Lethbridge-East,70.4,105.4,5.2,Lethbridge-East,Lethbridge-Taber-Warner
1641,060,Lethbridge-East,42.0,75.25,3.75,Lethbridge-East,Lethbridge-Taber-Warner
1642,037,Maskwacis-Wetaskiwin,32.666666666666664,148.33333333333334,13.333333333333334,Camrose,Leduc
1643,031,Maskwacis-Wetaskiwin,32.666666666666664,148.33333333333334,13.333333333333334,Wetaskiwin-Ponoka-Maskwacis,Wetaskiwin-Ponoka-Maskwacis
1644,051,Drayton Valley-Devon,79.75,201.25,9.25,Stony Plain-Drayton Valley,Edmonton-Enoch-Devon
1645,050,Drumheller-Stettler,55.857142857142854,163.28571428571428,9.571428571428571,Drumheller-Stettler,Drumheller-Stettler
1646,058,Leduc-Beaumont,78.25,133.75,9.25,Leduc-Devon,Leduc
1647,057,Leduc-Beaumont,78.25,133.75,9.25,Leduc-Devon,Leduc
1648,016,Peace River,56.75,177.25,11.5,Peace River,Peace River
1649,024,Calgary-Elbow,118.5,82.5,11.25,Calgary-Elbow,Calgary-Elbow
1650,019,Calgary-Buffalo,95.33333333333333,43.111111111111114,2.7777777777777777,Calgary-Buffalo,Calgary-Buffalo
1651,067,Calgary-East,67.8,76.6,9.0,Calgary-East,Calgary-Cross
1652,020,Calgary-Varsity,146.8,102.2,1.4,Calgary-Varsity,Calgary-Varsity
1653,019,Calgary-Varsity,146.8,102.2,1.4,Calgary-Varsity,Calgary-Varsity
1654,012,Spruce Grove-Stony Plain,112.625,147.125,6.25,Spruce Grove,Edmonton-Spruce Grove
1655,021,Lacombe-Ponoka,32.0,149.0,28.5,Drumheller-Stettler,Red Deer-Blackfalds
1656,031,Lac Ste. Anne-Parkland,47.0,151.5,10.5,Stony Plain-Drayton Valley,Lac Ste Anne-Parkland
1657,025,Camrose,98.8,147.4,32.6,Camrose,Camrose
1658,026,Calgary-Glenmore,139.0,139.33333333333334,7.666666666666667,Calgary-Glenmore-Tsuut'ina,Calgary-Glenmore
1659,040,Edmonton-Ellerslie,160.66666666666666,97.33333333333333,4.333333333333333,Edmonton-Meadows,Edmonton-Meadows
1660,010,Calgary-Hays,97.14285714285714,118.14285714285714,5.571428571428571,Calgary-Hays,Calgary-Hays
1661,041,Calgary-Bow,49.333333333333336,53.333333333333336,7.0,Calgary-Bow,Calgary-Varsity
1662,012,Edmonton-Rutherford,163.0,84.2,8.8,Edmonton-Rutherford,Edmonton-Rutherford
1663,024,Morinville-St. Albert,101.66666666666667,150.0,11.0,St. Albert-Sturgeon,St Albert-Sturgeon
1664,003,Edmonton-North West,129.2,102.6,4.0,Edmonton-North West,Edmonton-North West
1665,038,Leduc-Beaumont,55.888888888888886,98.55555555555556,5.222222222222222,Leduc-Devon,Leduc
1666,014,Edmonton-Beverly-Clareview,111.5,76.75,7.75,Edmonton-Beverly-Clareview,Edmonton-Beverly-Clareview
1667,016,Edmonton-Riverview,155.66666666666666,91.66666666666667,9.0,Edmonton-Glenora-Riverview,Edmonton-Glenora-Riverview
1668,035,Grande Prairie-Wapiti,38.5,159.5,5.0,Grande Prairie-Wapiti,Grande Prairie-Wapiti
