OBJECTID,va_pop_total_est,va_visible_min_est,va_indigenous_est,VA_NUMBER,va_ndp,va_ucp,va_other,pct_visible_min,pct_indigenous
278,0.0,0.0,0.0,060,56.40909090909091,125.81818181818181,4.954545454545454,0.0,0.0
279,0.0,0.0,0.0,005,45.666666666666664,153.16666666666666,7.166666666666667,0.0,0.0
280,0.0,0.0,0.0,042,29.0,148.0,4.0,0.0,0.0
281,0.0,0.0,0.0,011,45.8,20.3,2.4,0.0,0.0
282,0.0,0.0,0.0,023,140.0,106.0,7.333333333333333,0.0,0.0
283,0.0,0.0,0.0,031,93.6,147.4,5.6,0.0,0.0
284,0.0,0.0,0.0,054,29.333333333333332,183.33333333333334,12.0,0.0,0.0
285,0.0,0.0,0.0,048,70.42857142857143,50.0,1.7142857142857142,0.0,0.0
286,0.0,0.0,0.0,010,100.8,138.2,4.8,0.0,0.0
287,0.0,0.0,0.0,049,69.2,139.4,6.4,0.0,0.0
288,0.0,0.0,0.0,006,136.6,123.4,3.4,0.0,0.0
289,0.0,0.0,0.0,006,54.0,161.0,15.0,0.0,0.0
290,0.0,0.0,0.0,011,157.75,76.5,12.0,0.0,0.0
291,0.0,0.0,0.0,063,55.166666666666664,75.83333333333333,5.333333333333333,0.0,0.0
292,0.0,0.0,0.0,018,37.5,209.0,14.0,0.0,0.0
293,0.0,0.0,0.0,016,46.166666666666664,112.5,8.083333333333334,0.0,0.0
294,0.0,0.0,0.0,046,54.285714285714285,95.28571428571429,7.714285714285714,0.0,0.0
295,0.0,0.0,0.0,030,93.83333333333333,63.333333333333336,3.6666666666666665,0.0,0.0
296,0.0,0.0,0.0,003,63.333333333333336,147.0,20.5,0.0,0.0
297,0.0,0.0,0.0,057,52.285714285714285,99.28571428571429,6.714285714285714,0.0,0.0
298,0.0,0.0,0.0,020,56.2,128.6,10.8,0.0,0.0
299,0.0,0.0,0.0,039,63.44444444444444,111.22222222222223,8.777777777777779,0.0,0.0
300,0.0,0.0,0.0,037,63.44444444444444,111.22222222222223,8.777777777777779,0.0,0.0
301,0.0,0.0,0.0,033,69.2,112.26666666666667,7.066666666666666,0.0,0.0
302,0.0,0.0,0.0,050,69.0909090909091,44.63636363636363,0.0,0.0,0.0
303,0.0,0.0,0.0,003,45.714285714285715,100.28571428571429,2.5714285714285716,0.0,0.0
304,0.0,0.0,0.0,039,160.66666666666666,97.33333333333333,4.333333333333333,0.0,0.0
305,0.0,0.0,0.0,049,89.6,140.4,3.0,0.0,0.0
306,0.0,0.0,0.0,054,67.77777777777777,58.333333333333336,3.7777777777777777,0.0,0.0
307,0.0,0.0,0.0,045,44.0,179.66666666666666,30.0,0.0,0.0
308,0.0,0.0,0.0,021,102.16666666666667,109.33333333333333,7.166666666666667,0.0,0.0
309,0.0,0.0,0.0,011,96.5,166.5,5.333333333333333,0.0,0.0
310,0.0,0.0,0.0,030,80.5,36.666666666666664,1.8333333333333333,0.0,0.0
311,0.0,0.0,0.0,011,19.0,269.0,18.0,0.0,0.0
312,0.0,0.0,0.0,006,22.0,47.0,0.0,0.0,0.0
313,0.0,0.0,0.0,015,8.25,85.0,8.75,0.0,0.0
314,0.0,0.0,0.0,028,89.66666666666667,70.83333333333333,1.6666666666666667,0.0,0.0
315,0.0,0.0,0.0,044,112.2,121.0,2.2,0.0,0.0
316,0.0,0.0,0.0,010,209.0,102.5,7.5,0.0,0.0
317,0.0,0.0,0.0,039,97.83333333333333,78.16666666666667,5.5,0.0,0.0
318,0.0,0.0,0.0,007,64.25,108.5,8.5,0.0,0.0
319,0.0,0.0,0.0,032,31.0,184.0,8.0,0.0,0.0
320,0.0,0.0,0.0,063,36.666666666666664,183.66666666666666,9.0,0.0,0.0
321,0.0,0.0,0.0,009,24.2,83.6,3.6,0.0,0.0
322,0.0,0.0,0.0,059,51.0,131.0,8.0,0.0,0.0
323,0.0,0.0,0.0,011,87.4,136.2,5.6,0.0,0.0
324,0.0,0.0,0.0,027,24.6,116.46666666666667,19.533333333333335,0.0,0.0
325,0.0,0.0,0.0,040,64.0,95.66666666666667,4.0,0.0,0.0
326,0.0,0.0,0.0,054,19.454545454545453,38.72727272727273,2.6363636363636362,0.0,0.0
327,0.0,0.0,0.0,039,76.5,53.0,1.625,0.0,0.0
328,0.0,0.0,0.0,059,42.0,75.25,3.75,0.0,0.0
329,0.0,0.0,0.0,057,56.666666666666664,95.33333333333333,5.333333333333333,0.0,0.0
330,0.0,0.0,0.0,057,100.4,28.2,3.0,0.0,0.0
331,0.0,0.0,0.0,014,163.0,84.2,8.8,0.0,0.0
332,0.0,0.0,0.0,006,37.22222222222222,122.22222222222223,4.111111111111111,0.0,0.0
333,0.0,0.0,0.0,023,69.2,112.26666666666667,7.066666666666666,0.0,0.0
334,0.0,0.0,0.0,035,65.2,52.6,7.4,0.0,0.0
335,0.0,0.0,0.0,006,78.66666666666667,74.33333333333333,9.0,0.0,0.0
336,0.0,0.0,0.0,037,30.357142857142858,157.71428571428572,13.357142857142858,0.0,0.0
