parent_ed_2019,VA_NUMBER,election_day_ndp,election_day_ucp,apportioned_advance_ndp,apportioned_advance_ucp,full_ndp,full_ucp,pct_advance_ndp
Banff-Kananaskis,9,83.0,84.5,118.60679511083488,82.86513362336856,201.60679511083487,167.36513362336856,58.83
Highwood,32,45.875,159.875,60.9518787878788,131.44723232323236,106.8268787878788,291.32223232323236,57.06
Highwood,2,27.571428571428573,78.28571428571429,31.35937662337662,67.62881385281383,58.93080519480519,145.9145281385281,53.21
Edmonton-Whitemud,9,96.66666666666667,94.0,138.8908045977011,76.32830459770115,235.5574712643678,170.32830459770116,58.96
Bonnyville-Cold Lake-St. Paul,29,49.54545454545455,111.9090909090909,30.969338353953738,85.15373856912316,80.51479289940829,197.06282947821407,38.46
Cypress-Medicine Hat,31,121.33333333333333,197.66666666666666,65.34281650071124,102.48027251628359,186.67614983404457,300.14693918295023,35.0
Cypress-Medicine Hat,30,121.33333333333333,197.66666666666666,65.34281650071124,102.48027251628359,186.67614983404457,300.14693918295023,35.0
Edmonton-West Henday,47,104.88888888888889,75.22222222222223,38.59206231657479,24.527597209651024,143.48095120546367,99.74981943187325,26.9
Drayton Valley-Devon,26,36.0,132.0,20.80376813796247,65.47443591886348,56.80376813796247,197.4744359188635,36.62
Camrose,35,34.333333333333336,169.0,49.138569724367414,96.76429961700258,83.47190305770076,265.76429961700256,58.87
Taber-Warner,18,38.81818181818182,116.9090909090909,23.222975383517657,92.37336619855348,62.04115720169948,209.2824571076444,37.43
Airdrie-Cochrane,57,19.0,152.0,61.44844963953245,92.16070553650171,80.44844963953244,244.16070553650172,76.38
Edmonton-Decore,21,105.33333333333333,76.0,59.97500446348866,44.96911265845384,165.308337796822,120.96911265845384,36.28
Edmonton-South West,4,97.4,72.8,78.38306746427385,57.76561980724494,175.78306746427387,130.56561980724493,44.59
Highwood,30,57.0,168.33333333333334,66.75329292929293,143.95841077441077,123.75329292929293,312.2917441077441,53.94
Edmonton-Riverview,2,100.66666666666667,72.0,53.994479593102604,17.687569780424266,154.66114625976928,89.68756978042427,34.91
Morinville-St. Albert,49,109.0,98.25,64.50574602198479,70.79860096856021,173.5057460219848,169.0486009685602,37.18
Central Peace-Notley,4,24.2,83.6,12.415667949422758,43.60299615173171,36.61566794942276,127.2029961517317,33.91
Livingstone-Macleod,46,5.0,37.0,13.820545687603001,30.629005676616,18.820545687603,67.629005676616,73.43
Calgary-North East,44,84.75,59.375,78.08260959470637,58.39804332092638,162.83260959470635,117.77304332092638,47.95
Edmonton-Rutherford,21,142.42857142857142,70.42857142857143,140.01219971383387,57.854055275246616,282.4407711424053,128.28262670381804,49.57
Chestermere-Strathmore,22,47.75,145.25,60.39212046204621,161.56982260726073,108.14212046204621,306.81982260726073,55.85
Calgary-East,59,59.42857142857143,58.714285714285715,26.452624948930954,31.02798583685142,85.88119637750239,89.74227155113714,30.8
Banff-Kananaskis,28,89.71428571428571,44.857142857142854,95.2900648139927,66.57480245050164,185.0043505282784,111.4319453076445,51.51
Calgary-Foothills,13,87.6,87.8,90.27347020530796,83.8617526289434,177.87347020530797,171.66175262894342,50.75
Calgary-Fish Creek,11,126.33333333333333,153.83333333333334,56.33469582885143,64.99384486673837,182.66802916218475,218.82717820007173,30.84
Bonnyville-Cold Lake-St. Paul,23,55.0,8.0,12.08431952662722,33.22721893491124,67.08431952662723,41.22721893491124,18.01
Camrose,56,26.0,132.0,38.183085326803536,75.19061970239215,64.18308532680354,207.19061970239215,59.49
Central Peace-Notley,20,31.5,87.0,13.648020890599229,47.930937328202305,45.14802089059923,134.9309373282023,30.23
Calgary-North East,28,66.125,59.25,67.92442100909842,50.80072632340777,134.0494210090984,110.05072632340777,50.67
Lethbridge-West,6,131.0,85.0,125.54705156205486,80.01291425315735,256.5470515620549,165.01291425315736,48.94
Airdrie-Cochrane,35,56.42857142857143,107.14285714285714,58.77900988910998,88.15706586407224,115.20758131768142,195.29992300692936,51.02
Edmonton-Rutherford,9,176.5,88.25,174.14604638903535,71.95840801265156,350.64604638903535,160.20840801265155,49.66
