turn_id,timestamp,rows_emitted
hansard_r2-01986,2026-05-10T07:11:51.989331,2
hansard_r2-01988,2026-05-10T07:12:46.993236,2
hansard_r2-01996,2026-05-10T07:13:26.471760,1
hansard_r2-02051,2026-05-10T07:14:09.152593,2
hansard_r2-02088,2026-05-10T07:14:39.712582,2
hansard_r2-02089,2026-05-10T07:14:59.704917,1
hansard_r2-02090,2026-05-10T07:15:20.020066,1
hansard_r2-02093,2026-05-10T07:15:35.510652,0
hansard_r2-02094,2026-05-10T07:15:53.725398,1
hansard_r2-02101,2026-05-10T07:16:15.276915,1
hansard_r2-02106,2026-05-10T07:16:38.204012,1
hansard_r2-02129,2026-05-10T07:17:18.918066,1
hansard_r2-02134,2026-05-10T07:17:43.273625,1
hansard_r2-02135,2026-05-10T07:18:24.499311,2
hansard_r2-02137,2026-05-10T07:19:05.947964,3
hansard_r2-02138,2026-05-10T07:19:38.891287,1
hansard_r2-02143,2026-05-10T07:20:09.929165,1
hansard_r2-02144,2026-05-10T07:20:52.963383,1
hansard_r2-02145,2026-05-10T07:21:30.008896,1
hansard_r2-02151,2026-05-10T07:22:06.204667,1
hansard_r2-02198,2026-05-10T07:22:36.447340,1
hansard_r2-02203,2026-05-10T07:22:59.141350,0
hansard_r2-02205,2026-05-10T07:23:25.398305,1
hansard_r2-02207,2026-05-10T07:23:47.658502,0
hansard_r2-02228,2026-05-10T07:24:12.212862,0
hansard_r2-02282,2026-05-10T07:25:03.709921,1
hansard_r2-02285,2026-05-10T07:25:30.359535,0
hansard_r2-02286,2026-05-10T07:25:51.888486,1
hansard_r2-02289,2026-05-10T07:26:16.456028,1
hansard_r2-02292,2026-05-10T07:26:46.335012,2
hansard_r2-02293,2026-05-10T07:27:34.024069,1
hansard_r2-02299,2026-05-10T07:28:18.925473,2
hansard_r2-02308,2026-05-10T07:29:14.745145,1
hansard_r2-02326,2026-05-10T07:29:45.033474,1
hansard_r2-02330,2026-05-10T07:30:07.056011,0
hansard_r2-02333,2026-05-10T07:30:34.615702,1
hansard_r2-02336,2026-05-10T07:30:55.918104,1
